Region,InstPerform,CivicCommunity,NorthSouth,EconModern
Ab,7.5,8,South,7
Ba,7.5,4,South,3
Cl,1.5,1,South,3
Cm,2.5,2,South,6.5
Em,16,18,North,13
Fr,12,17,North,14.5
La,10,13,North,12.5
Li,11,16,North,15.5
Lo,11,17,North,19
Ma,9,15.5,North,10.5
Mo,6.5,3.5,South,2.5
Pi,13,15.5,North,17
Pu,5.5,3.5,South,4
Sa,5.5,8.5,South,8.5
Si,4.5,3.5,South,5.5
To,13,17.5,North,14.5
Tr,11,18,North,12.5
Um,15,15.5,North,11
Va,10,15,North,15
Ve,11,15,North,13.5
